source,engine,profile_id,profile_label_fr,profile_label_en,dimension_status,dimension_territory,dimension_atmp,rgdu_expression_used,smic_multiple,gross_monthly_eur,net_monthly_eur,employer_cost_monthly_eur,employee_contributions_monthly_eur,employer_contributions_monthly_eur,social_wedge_monthly_eur,employee_contribution_rate,employer_contribution_rate,social_wedge_rate,cost_to_net_ratio,rgdu_monthly_eur,rgdu_rate_gross,rgdu_rate_employer_cost,api_total_contributions_monthly_eur,api_employer_contributions_monthly_eur,api_employee_contributions_monthly_eur,missing_variables_gross,missing_variables_net,missing_variables_employer_cost,status,error
mon-entreprise,api/v1/evaluate,non_cadre__standard__standard,Non-cadre · Hors Alsace-Moselle · AT/MP standard,Non-executive · Outside Alsace-Moselle · Standard AT/MP,non_cadre,standard,standard,salarié . cotisations . exonérations . RGDU,1.84,3354.38,2633.38,4578.13,721.0,1223.75,1944.75,0.2149,0.3648,0.4248,1.7385,235.14,0.0701,0.0514,1944.75,1223.75,721.0,8,27,37,ok,
mon-entreprise,api/v1/evaluate,non_cadre__standard__standard,Non-cadre · Hors Alsace-Moselle · AT/MP standard,Non-executive · Outside Alsace-Moselle · Standard AT/MP,non_cadre,standard,standard,salarié . cotisations . exonérations . RGDU,1.85,3372.61,2647.81,4606.95,724.8,1234.34,1959.14,0.2149,0.366,0.4253,1.7399,232.37,0.0689,0.0504,1959.14,1234.34,724.8,8,27,37,ok,
mon-entreprise,api/v1/evaluate,non_cadre__standard__standard,Non-cadre · Hors Alsace-Moselle · AT/MP standard,Non-executive · Outside Alsace-Moselle · Standard AT/MP,non_cadre,standard,standard,salarié . cotisations . exonérations . RGDU,1.86,3390.84,2662.24,4635.81,728.6,1244.97,1973.57,0.2149,0.3672,0.4257,1.7413,229.56,0.0677,0.0495,1973.57,1244.97,728.6,8,27,37,ok,
mon-entreprise,api/v1/evaluate,non_cadre__standard__standard,Non-cadre · Hors Alsace-Moselle · AT/MP standard,Non-executive · Outside Alsace-Moselle · Standard AT/MP,non_cadre,standard,standard,salarié . cotisations . exonérations . RGDU,1.87,3409.07,2676.67,4664.38,732.4,1255.31,1987.71,0.2148,0.3682,0.4261,1.7426,227.04,0.0666,0.0487,1987.71,1255.31,732.4,8,27,37,ok,
mon-entreprise,api/v1/evaluate,non_cadre__standard__standard,Non-cadre · Hors Alsace-Moselle · AT/MP standard,Non-executive · Outside Alsace-Moselle · Standard AT/MP,non_cadre,standard,standard,salarié . cotisations . exonérations . RGDU,1.88,3427.3,2691.1,4693.33,736.2,1266.03,2002.23,0.2148,0.3694,0.4266,1.744,224.15,0.0654,0.0478,2002.23,1266.03,736.2,8,27,37,ok,
mon-entreprise,api/v1/evaluate,non_cadre__standard__standard,Non-cadre · Hors Alsace-Moselle · AT/MP standard,Non-executive · Outside Alsace-Moselle · Standard AT/MP,non_cadre,standard,standard,salarié . cotisations . exonérations . RGDU,1.89,3445.53,2705.53,4721.98,740.0,1276.45,2016.44,0.2148,0.3705,0.427,1.7453,221.55,0.0643,0.0469,2016.44,1276.45,740.0,8,27,37,ok,
mon-entreprise,api/v1/evaluate,non_cadre__standard__standard,Non-cadre · Hors Alsace-Moselle · AT/MP standard,Non-executive · Outside Alsace-Moselle · Standard AT/MP,non_cadre,standard,standard,salarié . cotisations . exonérations . RGDU,1.9,3463.76,2719.96,4750.66,743.8,1286.9,2030.7,0.2147,0.3715,0.4275,1.7466,218.91,0.0632,0.0461,2030.7,1286.9,743.8,8,27,37,ok,
mon-entreprise,api/v1/evaluate,non_cadre__standard__standard,Non-cadre · Hors Alsace-Moselle · AT/MP standard,Non-executive · Outside Alsace-Moselle · Standard AT/MP,non_cadre,standard,standard,salarié . cotisations . exonérations . RGDU,1.91,3481.99,2734.39,4779.39,747.6,1297.4,2045.0,0.2147,0.3726,0.4279,1.7479,216.23,0.0621,0.0452,2045.0,1297.4,747.6,8,27,37,ok,
mon-entreprise,api/v1/evaluate,non_cadre__standard__standard,Non-cadre · Hors Alsace-Moselle · AT/MP standard,Non-executive · Outside Alsace-Moselle · Standard AT/MP,non_cadre,standard,standard,salarié . cotisations . exonérations . RGDU,1.92,3500.22,2748.83,4807.81,751.39,1307.59,2058.99,0.2147,0.3736,0.4283,1.749,213.86,0.0611,0.0445,2058.99,1307.59,751.39,8,27,37,ok,
mon-entreprise,api/v1/evaluate,non_cadre__standard__standard,Non-cadre · Hors Alsace-Moselle · AT/MP standard,Non-executive · Outside Alsace-Moselle · Standard AT/MP,non_cadre,standard,standard,salarié . cotisations . exonérations . RGDU,1.93,3518.45,2763.26,4836.62,755.19,1318.17,2073.36,0.2146,0.3746,0.4287,1.7503,211.11,0.06,0.0436,2073.36,1318.17,755.19,8,27,37,ok,
mon-entreprise,api/v1/evaluate,non_cadre__standard__standard,Non-cadre · Hors Alsace-Moselle · AT/MP standard,Non-executive · Outside Alsace-Moselle · Standard AT/MP,non_cadre,standard,standard,salarié . cotisations . exonérations . RGDU,1.94,3536.68,2777.69,4865.11,758.99,1328.43,2087.42,0.2146,0.3756,0.4291,1.7515,208.66,0.059,0.0429,2087.42,1328.43,758.99,8,27,37,ok,
mon-entreprise,api/v1/evaluate,non_cadre__standard__standard,Non-cadre · Hors Alsace-Moselle · AT/MP standard,Non-executive · Outside Alsace-Moselle · Standard AT/MP,non_cadre,standard,standard,salarié . cotisations . exonérations . RGDU,1.95,3554.91,2792.12,4893.64,762.79,1338.73,2101.52,0.2146,0.3766,0.4294,1.7527,206.18,0.058,0.0421,2101.52,1338.73,762.79,8,27,37,ok,
mon-entreprise,api/v1/evaluate,non_cadre__standard__standard,Non-cadre · Hors Alsace-Moselle · AT/MP standard,Non-executive · Outside Alsace-Moselle · Standard AT/MP,non_cadre,standard,standard,salarié . cotisations . exonérations . RGDU,1.96,3573.14,2806.55,4921.85,766.59,1348.71,2115.3,0.2145,0.3775,0.4298,1.7537,204.03,0.0571,0.0415,2115.3,1348.71,766.59,8,27,37,ok,
mon-entreprise,api/v1/evaluate,non_cadre__standard__standard,Non-cadre · Hors Alsace-Moselle · AT/MP standard,Non-executive · Outside Alsace-Moselle · Standard AT/MP,non_cadre,standard,standard,salarié . cotisations . exonérations . RGDU,1.97,3591.37,2820.98,4950.45,770.39,1359.08,2129.47,0.2145,0.3784,0.4302,1.7549,201.48,0.0561,0.0407,2129.47,1359.08,770.39,8,27,37,ok,
mon-entreprise,api/v1/evaluate,non_cadre__standard__standard,Non-cadre · Hors Alsace-Moselle · AT/MP standard,Non-executive · Outside Alsace-Moselle · Standard AT/MP,non_cadre,standard,standard,salarié . cotisations . exonérations . RGDU,1.98,3609.6,2835.41,4978.72,774.19,1369.12,2143.31,0.2145,0.3793,0.4305,1.7559,199.25,0.0552,0.04,2143.31,1369.12,774.19,8,27,37,ok,
